ESTAR: Stopping Powers and Range Tables for Electrons

KAPTON POLYIMIDE FILM                                                            

Kinetic   CSDA      
Energy    Range     
MeV       g/cm2     

1.000E-02 2.760E-04 
1.250E-02 4.090E-04 
1.500E-02 5.643E-04 
1.750E-02 7.410E-04 
2.000E-02 9.385E-04 
2.500E-02 1.393E-03 
3.000E-02 1.923E-03 
3.500E-02 2.524E-03 
4.000E-02 3.193E-03 
4.500E-02 3.928E-03 
5.000E-02 4.724E-03 
5.500E-02 5.581E-03 
6.000E-02 6.494E-03 
7.000E-02 8.485E-03 
8.000E-02 1.068E-02 
9.000E-02 1.307E-02 
1.000E-01 1.563E-02 
1.250E-01 2.275E-02 
1.500E-01 3.077E-02 
1.750E-01 3.955E-02 
2.000E-01 4.899E-02 
2.500E-01 6.955E-02 
3.000E-01 9.190E-02 
3.500E-01 1.156E-01 
4.000E-01 1.405E-01 
4.500E-01 1.662E-01 
5.000E-01 1.927E-01 
5.500E-01 2.198E-01 
6.000E-01 2.474E-01 
7.000E-01 3.038E-01 
8.000E-01 3.613E-01 
9.000E-01 4.196E-01 
1.000E+00 4.784E-01 
1.250E+00 6.269E-01 
1.500E+00 7.762E-01 
1.750E+00 9.254E-01 
2.000E+00 1.074E+00 
2.500E+00 1.370E+00 
3.000E+00 1.662E+00 
3.500E+00 1.951E+00 
4.000E+00 2.237E+00 
4.500E+00 2.519E+00 
5.000E+00 2.798E+00 
5.500E+00 3.075E+00 
6.000E+00 3.349E+00 
7.000E+00 3.888E+00 
8.000E+00 4.418E+00 
9.000E+00 4.940E+00 
1.000E+01 5.453E+00 
1.250E+01 6.703E+00 
1.500E+01 7.910E+00 
1.750E+01 9.079E+00 
2.000E+01 1.021E+01 
2.500E+01 1.239E+01 
3.000E+01 1.445E+01 
3.500E+01 1.641E+01 
4.000E+01 1.829E+01 
4.500E+01 2.008E+01 
5.000E+01 2.180E+01 
5.500E+01 2.345E+01 
6.000E+01 2.503E+01 
7.000E+01 2.804E+01 
8.000E+01 3.084E+01 
9.000E+01 3.346E+01 
1.000E+02 3.593E+01 
1.250E+02 4.153E+01 
1.500E+02 4.647E+01 
1.750E+02 5.088E+01 
2.000E+02 5.487E+01 
2.500E+02 6.185E+01 
3.000E+02 6.783E+01 
3.500E+02 7.304E+01 
4.000E+02 7.768E+01 
4.500E+02 8.184E+01 
5.000E+02 8.562E+01 
5.500E+02 8.908E+01 
6.000E+02 9.228E+01 
7.000E+02 9.801E+01 
8.000E+02 1.030E+02 
9.000E+02 1.075E+02 
1.000E+03 1.115E+02 
